"Experiment","result","#solutions","#nodes","time","args",
"Midori-128-3-3__custom__0",2^{-6},2,12640,2,3,3,custom,0,
"Midori-128-3-3__custom__1",2^{-6},2,11448,3,3,3,custom,1,
"Midori-128-3-3__custom__2",2^{-6},2,15096,3,3,3,custom,2,
"Midori-128-3-3__custom__4",2^{-6},3,12390,3,3,3,custom,4,
"Midori-128-3-3__custom__8",2^{-6},2,11919,3,3,3,custom,8,
"Midori-128-3-3__custom__16",2^{-6},3,6435,3,3,3,custom,16,
"Midori-128-3-3__custom__32",2^{-6},3,13922,3,3,3,custom,32,
"Midori-128-3-3__custom__64",2^{-6},3,14689,4,3,3,custom,64,
"Midori-128-3-3__custom__128",2^{-6},3,10048,4,3,3,custom,128,
"Midori-128-3-3__custom__256",2^{-6},3,15114,6,3,3,custom,256,
"Midori-128-4-4__custom__0",2^{-8},1,2123,4,4,4,custom,0,
"Midori-128-3-3__custom__512",2^{-6},3,18021,8,3,3,custom,512,
"Midori-128-4-4__custom__1",2^{-8},1,580,3,4,4,custom,1,
"Midori-128-3-3__custom__1024",2^{-6},3,18021,8,3,3,custom,1024,
"Midori-128-4-4__custom__2",2^{-8},1,2255,3,4,4,custom,2,
"Midori-128-4-4__custom__4",2^{-8},2,2223,3,4,4,custom,4,
"Midori-128-4-4__custom__8",2^{-8},1,1585,4,4,4,custom,8,
"Midori-128-4-4__custom__16",2^{-8},2,2447,4,4,4,custom,16,
"Midori-128-4-4__custom__32",2^{-8},1,3519,4,4,4,custom,32,
"Midori-128-4-4__custom__64",2^{-8},2,4022,5,4,4,custom,64,
"Midori-128-4-4__custom__128",2^{-8},2,4022,5,4,4,custom,128,
"Midori-128-4-4__custom__256",2^{-8},2,4022,5,4,4,custom,256,
"Midori-128-4-4__custom__512",2^{-8},2,4022,5,4,4,custom,512,
"Midori-128-4-4__custom__1024",2^{-8},2,4022,5,4,4,custom,1024,
"Midori-128-5-5__custom__1",2^{-10},1,1397,5,5,5,custom,1,
"Midori-128-5-5__custom__0",2^{-10},1,2126,5,5,5,custom,0,
"Midori-128-5-5__custom__2",2^{-10},1,1244,5,5,5,custom,2,
"Midori-128-5-5__custom__4",2^{-10},1,1175,5,5,5,custom,4,
"Midori-128-5-5__custom__8",2^{-10},1,2437,5,5,5,custom,8,
"Midori-128-5-5__custom__16",2^{-10},1,2026,5,5,5,custom,16,
"Midori-128-5-5__custom__32",2^{-10},1,4470,6,5,5,custom,32,
"Midori-128-5-5__custom__64",2^{-10},1,7558,7,5,5,custom,64,
"Midori-128-5-5__custom__128",2^{-10},3,7443,7,5,5,custom,128,
"Midori-128-5-5__custom__256",2^{-10},3,7443,7,5,5,custom,256,
"Midori-128-5-5__custom__512",2^{-10},3,7443,7,5,5,custom,512,
"Midori-128-5-5__custom__1024",2^{-10},3,7443,7,5,5,custom,1024,
"Midori-128-6-6__custom__1",2^{-12},1,2903,6,6,6,custom,1,
"Midori-128-6-6__custom__0",2^{-12},4,4488,7,6,6,custom,0,
"Midori-128-6-6__custom__2",2^{-12},1,2932,6,6,6,custom,2,
"Midori-128-6-6__custom__4",2^{-12},2,1667,6,6,6,custom,4,
"Midori-128-6-6__custom__8",2^{-12},1,3916,7,6,6,custom,8,
"Midori-128-6-6__custom__16",2^{-12},3,4014,7,6,6,custom,16,
"Midori-128-6-6__custom__32",2^{-12},1,4371,9,6,6,custom,32,
"Midori-128-6-6__custom__64",2^{-12},1,6366,9,6,6,custom,64,
"Midori-128-6-6__custom__128",2^{-12},2,12688,11,6,6,custom,128,
"Midori-128-6-6__custom__256",2^{-12},2,19135,12,6,6,custom,256,
"Midori-128-6-6__custom__512",2^{-12},2,19135,12,6,6,custom,512,
"Midori-128-6-6__custom__1024",2^{-12},2,19135,12,6,6,custom,1024,
"Midori-128-7-7__custom__0",2^{-14},5,31616,9,7,7,custom,0,
"Midori-128-7-7__custom__1",2^{-14},1,4623,8,7,7,custom,1,
"Midori-128-7-7__custom__2",2^{-14},1,3040,7,7,7,custom,2,
"Midori-128-7-7__custom__4",2^{-14},1,3309,8,7,7,custom,4,
"Midori-128-7-7__custom__8",2^{-14},1,4410,10,7,7,custom,8,
"Midori-128-7-7__custom__16",2^{-14},1,4811,10,7,7,custom,16,
"Midori-128-7-7__custom__32",2^{-14},3,9239,12,7,7,custom,32,
"Midori-128-7-7__custom__64",2^{-14},1,8030,10,7,7,custom,64,
"Midori-128-7-7__custom__128",2^{-14},3,15428,13,7,7,custom,128,
"Midori-128-7-7__custom__256",2^{-14},1,15314,13,7,7,custom,256,
"Midori-128-7-7__custom__512",2^{-14},1,15314,12,7,7,custom,512,
"Midori-128-7-7__custom__1024",2^{-14},1,15314,12,7,7,custom,1024,
"Midori-128-8-8__custom__0",2^{-16},1,7989,12,8,8,custom,0,
"Midori-128-8-8__custom__1",2^{-16},4,11194,12,8,8,custom,1,
"Midori-128-8-8__custom__2",2^{-16},3,10883,14,8,8,custom,2,
"Midori-128-8-8__custom__4",2^{-16},1,6059,11,8,8,custom,4,
"Midori-128-8-8__custom__8",2^{-16},1,5723,11,8,8,custom,8,
"Midori-128-8-8__custom__16",2^{-16},4,9108,13,8,8,custom,16,
"Midori-128-8-8__custom__32",2^{-16},1,9873,15,8,8,custom,32,
"Midori-128-8-8__custom__64",2^{-16},4,15144,16,8,8,custom,64,
"Midori-128-8-8__custom__128",2^{-16},2,16759,17,8,8,custom,128,
"Midori-128-8-8__custom__256",2^{-16},1,31867,24,8,8,custom,256,
"Midori-128-8-8__custom__1024",2^{-16},1,31867,23,8,8,custom,1024,
"Midori-128-8-8__custom__512",2^{-16},1,31867,24,8,8,custom,512,
"Midori-128-9-9__custom__0",2^{-18},5,35334,23,9,9,custom,0,
"Midori-128-9-9__custom__1",2^{-18},1,20062,21,9,9,custom,1,
"Midori-128-9-9__custom__4",2^{-18},3,14005,18,9,9,custom,4,
"Midori-128-9-9__custom__2",2^{-18},1,18631,21,9,9,custom,2,
"Midori-128-9-9__custom__8",2^{-18},1,13505,19,9,9,custom,8,
"Midori-128-9-9__custom__16",2^{-18},1,14505,22,9,9,custom,16,
"Midori-128-9-9__custom__32",2^{-18},1,20600,23,9,9,custom,32,
"Midori-128-9-9__custom__64",2^{-18},1,17239,22,9,9,custom,64,
"Midori-128-9-9__custom__128",2^{-18},1,28346,31,9,9,custom,128,
"Midori-128-9-9__custom__256",2^{-18},1,47159,38,9,9,custom,256,
"Midori-128-9-9__custom__512",2^{-18},2,66301,44,9,9,custom,512,
"Midori-128-9-9__custom__1024",2^{-18},2,66301,43,9,9,custom,1024,
"Midori-128-10-10__custom__0",2^{-20},2,32846,31,10,10,custom,0,
"Midori-128-10-10__custom__1",2^{-20},2,33994,35,10,10,custom,1,
"Midori-128-10-10__custom__4",2^{-20},1,20834,25,10,10,custom,4,
"Midori-128-10-10__custom__8",2^{-20},2,26658,28,10,10,custom,8,
"Midori-128-10-10__custom__2",2^{-20},1,45105,45,10,10,custom,2,
"Midori-128-10-10__custom__16",2^{-20},2,27278,33,10,10,custom,16,
"Midori-128-10-10__custom__32",2^{-20},2,34599,38,10,10,custom,32,
"Midori-128-10-10__custom__64",2^{-20},1,34209,38,10,10,custom,64,
"Midori-128-10-10__custom__128",2^{-20},2,74860,45,10,10,custom,128,
"Midori-128-10-10__custom__256",2^{-20},1,56026,46,10,10,custom,256,
"Midori-128-10-10__custom__512",2^{-20},1,91607,64,10,10,custom,512,
"Midori-128-10-10__custom__1024",2^{-20},4,133620,86,10,10,custom,1024,
"Midori-128-11-11__custom__0",2^{-22},1,73313,68,11,11,custom,0,
"Midori-128-11-11__custom__1",2^{-22},1,89349,90,11,11,custom,1,
"Midori-128-11-11__custom__2",2^{-22},3,87203,83,11,11,custom,2,
"Midori-128-11-11__custom__8",2^{-22},4,67409,68,11,11,custom,8,
"Midori-128-11-11__custom__4",2^{-22},4,85066,79,11,11,custom,4,
"Midori-128-11-11__custom__16",2^{-22},2,102614,98,11,11,custom,16,
"Midori-128-11-11__custom__32",2^{-22},1,107451,93,11,11,custom,32,
"Midori-128-11-11__custom__64",2^{-22},1,90366,87,11,11,custom,64,
"Midori-128-11-11__custom__128",2^{-22},2,114239,99,11,11,custom,128,
"Midori-128-11-11__custom__256",2^{-22},3,95480,80,11,11,custom,256,
"Midori-128-11-11__custom__512",2^{-22},3,160848,114,11,11,custom,512,
"Midori-128-11-11__custom__1024",2^{-22},2,241646,156,11,11,custom,1024,
"Midori-128-12-12__custom__0",2^{-24},3,213225,190,12,12,custom,0,
"Midori-128-12-12__custom__1",2^{-24},4,190309,178,12,12,custom,1,
"Midori-128-12-12__custom__4",2^{-24},2,177755,153,12,12,custom,4,
"Midori-128-12-12__custom__2",2^{-24},1,223936,221,12,12,custom,2,
"Midori-128-12-12__custom__8",2^{-24},1,152864,159,12,12,custom,8,
"Midori-128-12-12__custom__16",2^{-24},1,199750,184,12,12,custom,16,
"Midori-128-12-12__custom__32",2^{-24},2,223022,225,12,12,custom,32,
"Midori-128-12-12__custom__64",2^{-24},1,219333,210,12,12,custom,64,
"Midori-128-12-12__custom__128",2^{-24},5,170667,171,12,12,custom,128,
"Midori-128-12-12__custom__256",2^{-24},2,174481,181,12,12,custom,256,
"Midori-128-12-12__custom__512",2^{-24},1,235885,223,12,12,custom,512,
"Midori-128-12-12__custom__1024",2^{-24},1,357337,312,12,12,custom,1024,
"Midori-128-13-13__custom__1",2^{-26},3,261987,269,13,13,custom,1,
"Midori-128-13-13__custom__0",2^{-26},2,536193,463,13,13,custom,0,
"Midori-128-13-13__custom__4",2^{-26},3,285812,259,13,13,custom,4,
"Midori-128-13-13__custom__16",2^{-26},1,198798,205,13,13,custom,16,
"Midori-128-13-13__custom__2",2^{-26},1,500975,484,13,13,custom,2,
"Midori-128-13-13__custom__8",2^{-26},2,657932,638,13,13,custom,8,
"Midori-128-13-13__custom__32",2^{-26},1,387680,462,13,13,custom,32,
"Midori-128-13-13__custom__64",2^{-26},1,425793,426,13,13,custom,64,
"Midori-128-13-13__custom__128",2^{-26},3,467875,460,13,13,custom,128,
"Midori-128-13-13__custom__1024",2^{-26},1,466955,437,13,13,custom,1024,
"Midori-128-13-13__custom__256",2^{-26},1,578931,600,13,13,custom,256,
"Midori-128-13-13__custom__512",2^{-26},1,576112,627,13,13,custom,512,
"Midori-128-14-14__custom__2",2^{-28},1,929180,927,14,14,custom,2,
"Midori-128-14-14__custom__0",2^{-28},2,1403119,1415,14,14,custom,0,
"Midori-128-14-14__custom__4",2^{-28},4,943211,936,14,14,custom,4,
"Midori-128-14-14__custom__1",2^{-28},3,1559786,1399,14,14,custom,1,
"Midori-128-14-14__custom__8",2^{-28},1,1166872,1063,14,14,custom,8,
"Midori-128-14-14__custom__32",2^{-28},1,809784,983,14,14,custom,32,
"Midori-128-14-14__custom__16",2^{-28},3,1217578,1225,14,14,custom,16,
"Midori-128-14-14__custom__64",2^{-28},1,960713,1030,14,14,custom,64,
"Midori-128-14-14__custom__128",2^{-28},3,909494,1013,14,14,custom,128,
"Midori-128-14-14__custom__256",2^{-28},1,964048,1016,14,14,custom,256,
"Midori-128-14-14__custom__512",2^{-28},3,1208859,1314,14,14,custom,512,
"Midori-128-14-14__custom__1024",2^{-28},3,1331263,1403,14,14,custom,1024,
"Midori-128-15-15__custom__0",,,,nan,15,15,custom,0,
"Midori-128-15-15__custom__1",,,,nan,15,15,custom,1,
"Midori-128-15-15__custom__2",,,,nan,15,15,custom,2,
"Midori-128-15-15__custom__4",,,,nan,15,15,custom,4,
"Midori-128-15-15__custom__8",,,,nan,15,15,custom,8,
"Midori-128-15-15__custom__16",,,,nan,15,15,custom,16,
"Midori-128-15-15__custom__32",,,,nan,15,15,custom,32,
"Midori-128-15-15__custom__64",,,,nan,15,15,custom,64,
"Midori-128-15-15__custom__128",,,,nan,15,15,custom,128,
"Midori-128-15-15__custom__256",,,,nan,15,15,custom,256,
"Midori-128-15-15__custom__512",,,,nan,15,15,custom,512,
"Midori-128-15-15__custom__1024",,,,nan,15,15,custom,1024,
